Model,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted),ConfusionMatrixPath
Logistic Regression,0.916578947368421,0.9164133332634188,0.916578947368421,0.9163967773558354,project2_outputs\confusion_matrix_logistic_regression.png
Decision Tree,0.3634210526315789,0.700612961211501,0.3634210526315789,0.3052741227515561,project2_outputs\confusion_matrix_decision_tree.png
